date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:09	53176/53176	---M-Z	200	added ('OK')	text/html	etag:%223b400bd-cfb8-57b522207dace-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/ui-tabs-accordions.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/ui-tabs-accordions.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:14	36422/36422	---M-Z	200	added ('OK')	text/html	etag:%223b400a6-8e46-57b5221adfae1-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/ui-nestable.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/ui-nestable.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:14	40662/40662	---M-Z	200	added ('OK')	text/html	etag:%223b400bc-9ed6-57b5222074e2d-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/ui-tree-view.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/ui-tree-view.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:15	28684/28684	---M-Z	200	added ('OK')	text/html	etag:%223b400bb-700c-57b5221ff765b-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-blank.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-blank.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:15	28696/28696	---M-Z	200	added ('OK')	text/html	etag:%223b400a8-7018-57b5221b64bcb-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-boxed.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-boxed.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:16	28722/28722	---M-Z	200	added ('OK')	text/html	etag:%223b400c4-7032-57b522227bee8-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-collapsed-sidebar.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-collapsed-sidebar.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:16	28687/28687	---M-Z	200	added ('OK')	text/html	etag:%223b400b3-700f-57b5221e264e9-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-header.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-header.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:17	28714/28714	---M-Z	200	added ('OK')	text/html	etag:%223b400c0-702a-57b522217b183-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-sidebar.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-sidebar.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:17	28745/28745	---M-Z	200	added ('OK')	text/html	etag:%223b400a2-7049-57b52218f08f7-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-sidebar-header.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/layout-fixed-sidebar-header.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
16:52:18	52981/52981	---M-Z	200	added ('OK')	text/html	etag:%223b400bf-cef5-57b5222106268-gzip%22	http://phantom-themes.com/flatify/theme/templates/admin1/form-elements.html	C:/My%20Web%20Sites/demo/phantom-themes.com/flatify/theme/templates/admin1/form-elements.html	(from http://phantom-themes.com/flatify/theme/templates/admin1/index.html)
